影院名称,国家编码,在系统商的编码,系统商
金逸重庆永川店,50010121,,VISTA
金逸吉安天虹店,36080161,1123,VISTA
金逸苏州影视中心店,32028011,1072,VISTA
金逸苏州繁花中心店,32027711,1075,VISTA
金逸中山东凤店,44112901,,VISTA
西安恒大影城,61014101,61014101,HuoFengHuang
浏阳恒大影城,43013101,43013101,HuoFengHuang
中山恒大影院,44112401,44112401,HuoFengHuang
儋州恒大影城,46050301,46050301,HuoFengHuang
岳阳恒大影城,43061201,43061201,HuoFengHuang
景德镇恒大影城,36028311,36028311,HuoFengHuang
北海恒大影城,45050111,45050111,HuoFengHuang
东营恒大影城,37127041,37127041,HuoFengHuang
石家庄恒大雅苑影城,13015601,13015601,HuoFengHuang
石家庄恒大绿洲影城,13015701,13015701,HuoFengHuang
铜陵恒大影城,34070401,34070401,HuoFengHuang
盐城恒大影城,32083411,32083411,HuoFengHuang
重庆恒大影城,50070091,50070091,HuoFengHuang
恒大影城淮北,34120601,34120601,HuoFengHuang
合肥恒大影城。,重复影城,,
银川恒大影城。,#VALUE!,,HuoFengHuang
自贡恒大影城,51048901,51048901,HuoFengHuang
青岛奥维尔国际影城,37036101,37036101,HuoFengHuang2
保利国际影城无锡电影产业园店,32034401,20002931,DingXin
保利国际影城日照凯德广场店,37160801,20002928,DingXin
保利国际影城上海祥腾店,31182401,20002929,DingXin
保利国际影城昆山文化艺术中心店,32025101,20002930,DingXin
保利国际影城广州中环店,44007501,20002927,DingXin
保利国际影城佛山南海店,44132501,20002925,DingXin
保利国际影城深圳南山店,44014201,20002926,DingXin
保利国际影城北京北苑华贸店,11059201,20002922,DingXin
保利国际影城北京龙旗广场店,11089201,20002921,DingXin
保利国际影城中国科技馆店,11056601,20002920,DingXin
保利国际影城北京万源店,11071101,20002924,DingXin
保利国际影城北京缤纷城店,11083501,20002919,DingXin
保利国际影城北京凯德大峡谷店,11078801,20002923,DingXin
保利国际影城长沙喜盈门店,43014101,20002874,DingXin
保利国际影城深圳大中华店,44223201,20002932,DingXin
昌平保利影剧院,11083701,,HuoFengHuang2
保利电影院线郑州店,41011101,41011101,HuoFengHuang2
保利国际影城上海曹路宝龙店,31126201,20002909,DingXin
保利DMC合肥国际影城,34013001,,HuoFengHuang2
临沂保利国际影城,37080801,20002972,DingXin
保利国际影城成都奥克斯店,51015201,20003529,DingXin
保利国际影城南京森林摩尔店,32015911,20003040,DingXin
保利国际影城上海世博店,31126501,20003065,DingXin
北京保利万和国际影城苹果园店,11090531,20003081,DingXin
中影国际影城欢乐海岸店,44019201,20000606,DingXin
上海中影国际影城川沙店,31124401,20003306,DingXin
沈阳世茂时尚欢乐影城,21014601,,HuoFengHuang2
UME国际影城（安贞店）,11015502,11015502,HuoFengHuang2
UME国际影城（华星店）,11063601,11063601,HuoFengHuang2
UME国际影城（双井店）,11051901,11051901,HuoFengHuang2
徐州万达电影城（世茂广场店）,32071101,,HuoFengHuang2
新南国影城（中信店）,44012501,,DingXin
南国影城（金光华店）,44013101,,DingXin
中惠国际影城,44081901,44081901,HuoFengHuang2
丽江电影城,53320101,20002611,HuoFengHuang2
新鑫国际影城,14110301,14110301,ManTianXing
北京剧院,11051202,,ManTianXing
宁波中影国际影城联盛店,33045401,33045401,HuoFengHuang2
贵阳银座影城,52010601,,DingXin
新建设电影世界,53010701,53010701,HuoFengHuang2
涿州中影星美影城,13023501,20002812,DingXin
影美国际影城,21016701,,HuoFengHuang2
中影星美国际影城（临海银泰店）,33063601,20002943,DingXin
中影国际影城青岛大拇指广场店,37036501,37036501,Flamingo
上河影城,37070301,20003108,DingXin
中影鸿鑫国际影城,43081601,,HuoFengHuang2
绍兴迪荡万达电影城,33051001,,DingXin
飞影电影城,44008001,44008001,HuoFengHuang2
沈阳百丽宫影城市府恒隆广场店,21016001,20000706,DingXin
成都百老汇影城万象城店,51019301,20000704,DingXin
合肥华谊兄弟,34011601,,DingXin
中影佰纳国际影城(佛山南海大沥店),44061301,,HuoFengHuang2
成都欢乐小马电影城,51011501,51011501,HuoFengHuang2
铜陵华谊兄弟影院,34070201,,DingXin
首都电影院天津远洋店,12025601,12025601,HuoFengHuang2
华谊兄弟武汉光谷店,42171701,,DingXin
华谊兄弟上海影院,31051201,,DingXin
华谊兄弟影院(江北金源店),50050701,,DingXin
华谊兄弟无锡古韵店,32033301,,DingXin
华谊兄弟黄陂影城,42171001,,DingXin
环球时代影城（远望店）,23059901,,HuoFengHuang2
华谊兄弟影院（咸宁店）,42081301,,DingXin
华谊兄弟影院(南坪百联店),50080701,,DingXin
华谊兄弟影城哈尔滨群力店,23015101,,DingXin
UME国际影城(石家庄店）,13014301,13014301,HuoFengHuang2
华谊兄弟重庆影院袁家岗店,50070601,,DingXin
华谊兄弟沈阳影院,21016201,,DingXin
昆明嘉美影院,53011401,53011401,HuoFengHuang2
广州华影梅花园影城,44007401,44007401,HuoFengHuang2
华影万晟国际影城,44008201,44008201,HuoFengHuang2
太古仓电影库,44005101,,ManTianXing
左岸国际影城(广州店),44008701,44008701,HuoFengHuang
UA西城都荟影城,44009001,,HuoFengHuang2
华谊兄弟深圳影院,44221101,,DingXin
青宫电影院,44002801,44002801,HuoFengHuang2
深圳世纪星晖影城,44018401,,DingXin
亮胜客家艺术中心剧院,44050301,,ManTianXing
蕉岭客都影院,44060501,,ManTianXing
惠东弘诚影院,44082101,44082101,HuoFengHuang2
大埔客都影院,44060302,,ManTianXing
大理好世界影城,53290301,,ManTianXing
昆明百老汇影城顺城店,53011301,20002641,DingXin
天幕国际影城（高新店）,36010801,,HuoFengHuang2
保山马里影城,53050101,,ManTianXing
文投国际影城天津店,12042301,,HuoFengHuang2
重庆UME影城（江北店）,50050201,50050201,HuoFengHuang2
华影国际影城,36012201,,HuoFengHuang2
东莞星汇电影城,44105901,,HuoFengHuang2
沂水天幕国际影城,37087071,,DingXin
重庆UME影城（九龙坡店）,50070301,50070301,HuoFengHuang2
重庆UME影城（沙坪坝店）,50060401,50060401,HuoFengHuang2
重庆UME影城(两江新区店）,50120601,50120601,HuoFengHuang2
重庆UME影城(涪陵店),50020301,50020301,HuoFengHuang2
重庆UME影城（解放碑店）,50031601,50031601,HuoFengHuang2
UME国际影城（成华店）,51015101,51015101,HuoFengHuang2
重庆UME影城（北碚店）,50090501,50090501,HuoFengHuang2
重庆UME影城（渝中店）,50031501,50031501,HuoFengHuang2
广州UME国际影城,44003401,,HuoFengHuang2
新亚洲·虹影城,53011001,53011001,HuoFengHuang2
中影DFC影城,31126701,31126701,HuoFengHuang2
宁波UME国际影城,33044901,,HuoFengHuang2
盘锦东方银座国际影城,21110111,20003056,DingXin
卢米埃常熟世茂影城,32022301,,VISTA
卢米埃影城(华润店),32026501,,VISTA
新远国际影城,33014201,33014201,HuoFengHuang2
杭州萧山闻堰新远影城,33017101,33017101,HuoFengHuang2
米高梅国际影城,31126601,,ManTianXing
广州泛洋电影城,44211901,,HuoFengHuang2
安徽艺术影城,34010101,,HuoFengHuang2
杭州光影影院,33015701,20003948,DingXin
平湖银河电影城,33031601,33031601,HuoFengHuang2
嘉兴中山影城,33030101,33030101,HuoFengHuang2
